,Corrélation
reel,1.0
prevision,0.9303820616515743
effectif,0.4255562205072629
inc_gastro,0.2314208540632451
bio,0.16131936914434675
poisson,0.14156503761965336
inc_varicelle,0.08572326963371509
ramadan,0.05789457255303896
noel,0.057323280724385646
frites,0.053817488293353914
inc_grippe,0.04366719577359651
fete_chretienne,0.038594318238353534
veille_vacances,0.025573260619908212
semaine,0.02287704979838894
retour_vacances,0.016013805592490236
fete_juive,0.012529279160886767
retour_ferie,-0.0010822793969459824
an_chinois,-0.003287312450966205
veille_ferie,-0.012795744538455488
porc,-0.025775698290910445
viande,-0.03229129199910062
vacances,-0.047521400525123055
fete_musulmane,-0.04834221702561103
gaspillage_volume,-0.14759600029855025
ferie,-0.14970285079878706
greves,-0.3445334865623357
reel_std_annee,-0.3803361117942114
